year,combination,organism,antibiotics,R,Tested.isolates,isolates,Region,NAME,TMN,TMP,HEG,IT,OPE,PD,UP,PMP,PREC,SR,SSR,TCL,HUM,CPI,WASH,AMC,IC,HD
2012,CRAB,Acinetobacter baumannii,Carbapenems,0.094,64,6,Europe and Central Asia,C012,5.1,8.3,10.54281723,26402000,15.63349608,139.7893,87.142,9.7,754.5,0.0432,0.0265,1.596,184.6,90,53.63758214,17.4,90.70746069,3.13
2013,CRAB,Acinetobacter baumannii,Carbapenems,0.016,61,1,Europe and Central Asia,C012,5.2,8.4,10.35184285,26516000,15.53842377,140.3733,87.292,9.3,661.4,0.0145,0.0246,0.797,164.5,91,53.63758214,17.5,90.42174641,3.07
2014,CRAB,Acinetobacter baumannii,Carbapenems,0.016,62,1,Europe and Central Asia,C012,6.9,10,10.33893402,28070000,15.55640592,141.086875,87.41,11.1,804,0.0209,0.0247,2.527,174.7,92,53.63758214,17.1,90.27888926,2.69
2015,CRAB,Acinetobacter baumannii,Carbapenems,0.046,65,3,Europe and Central Asia,C012,6,9.2,10.38755834,28209000,15.74458883,142.087075,87.526,9.2,810.9,0.0189,0.0201,2.141,178.7,91,53.63758214,17.5,89.42174641,2.53
2016,CRAB,Acinetobacter baumannii,Carbapenems,2.22E-18,69,0,Europe and Central Asia,C012,5.9,8.9,10.28890878,28692000,15.81834884,143.20025,87.642,8.8,647.3,0.02,0.0211,2.1,165.7,90,53.63758214,17,90.99317498,2.6
2017,CRAB,Acinetobacter baumannii,Carbapenems,2.22E-18,66,0,Europe and Central Asia,C012,5.8,8.8,10.12673161,30736000,16.04328751,144.1245,87.757,8.6,907.6,0.0185,0.0222,1.616,188.6,88,53.63758214,16.2,93.56460355,2.61
2018,CRAB,Acinetobacter baumannii,Carbapenems,0.064,47,3,Europe and Central Asia,C012,6,9.4,10.11938016,30801000,16.25019074,144.8409,87.874,10.4,573.4,0.02,0.0244,2.672,148.2,88,53.63758214,15.6,93.13603212,2.43
2019,CRAB,Acinetobacter baumannii,Carbapenems,2.22E-18,72,0,Europe and Central Asia,C012,6.3,9.5,9.931276216,33093000,16.29055653,145.36055,87.994,9.1,811.8,0.0205,0.0233,2.561,183.3,87,53.63758214,15.18374347,93.27888926,2.6
2020,CRAB,Acinetobacter baumannii,Carbapenems,0.047,64,3,Europe and Central Asia,C012,6.7,9.9,10.43941416,15595000,15.14255853,145.7851,88.116,7.6,710.1,0.029,0.0241,2.361,167.9,88,53.63758214,14.76748694,92.99317498,2.6
2021,CRAB,Acinetobacter baumannii,Carbapenems,0.059,102,6,Europe and Central Asia,C012,5.6,8.7,12.59812978,45329299.97,11.73207707,146.2220571,88.23892788,7.9,700.5,0.0359,0.03,1.321,158.1,88,53.63758214,14.35123042,91.13626567,1.840584912
2022,CRAB,Acinetobacter baumannii,Carbapenems,0.052,96,5,Europe and Central Asia,C012,6.2,9.5,17.28441745,171696899.9,5.037285814,146.7730713,88.36178363,8.3,619.7,0.03,0.0324,2.394,160.2,90,53.63758214,13.93497389,91.15318063,0.198245265
